Price,Status Text,Status Type,Area,Beds,Baths,State,City,Street,Zipcode
"535,000",FOR_SALE,FOR_SALE,3000 sqft,3,2.0,CO,Canon City,988 Chinook Dr,81212
"330,000",FOR_SALE,FOR_SALE,897 sqft,2,1.0,CO,Colorado Springs,6795 Goldfield Dr,80911
"370,000",FOR_SALE,FOR_SALE,1558 sqft,3,3.0,CO,Denver,7476 E Arkansas Avenue  Unit 205,80231
"580,000",FOR_SALE,FOR_SALE,2327 sqft,3,3.0,CO,Westminster,11319 Lamar Street,80020
"695,000",FOR_SALE,FOR_SALE,3867 sqft,4,4.0,CO,Castle Pines,821 Deer Clover Circle,80108
"185,000",FOR_SALE,FOR_SALE,854 sqft,2,1.0,CO,Pueblo,212 W Summit Ave,81004
"475,000",FOR_SALE,FOR_SALE,2585 sqft,3,2.0,CO,Aurora,63 Macon Street,80010
"340,000",FOR_SALE,FOR_SALE,870 sqft,2,2.0,CO,Lakewood,10248 W Dartmouth Avenue,80227
"395,000",FOR_SALE,FOR_SALE,2390 sqft,5,2.0,CO,Pueblo,5853 Fort Garland St,81004
"670,000",FOR_SALE,FOR_SALE,2873 sqft,4,3.0,CO,Fort Collins,808 Courtenay Circle,80525
"500,000",FOR_SALE,FOR_SALE,2237 sqft,3,4.0,CO,Parker,11519 Wray Court,80134
"465,000",FOR_SALE,FOR_SALE,2542 sqft,3,3.0,CO,Littleton,4531 W Ponds Circle,80123
"559,000",FOR_SALE,FOR_SALE,2251 sqft,4,3.0,CO,Thornton,2145 E 127th Place,80241
"2,599,000",FOR_SALE,FOR_SALE,6818 sqft,5,7.0,CO,Longmont,8615 Portico Ln,80503
"430,000",FOR_SALE,FOR_SALE,2748 sqft,4,4.0,CO,Colorado Springs,211 Eagle Summit Poin,80919
"389,000",FOR_SALE,FOR_SALE,1724 sqft,4,2.0,CO,Colorado Springs,1010 N Arcadia St,80903
"134,900",FOR_SALE,FOR_SALE,1216 sqft,3,2.0,CO,Fort Collins,3109 E Mulberry Street,80524
"4,995,000",FOR_SALE,FOR_SALE,5412 sqft,5,6.0,CO,Golden,525 Strada Rossa Rd,80401
"649,000",FOR_SALE,FOR_SALE,3146 sqft,3,3.0,CO,Castle Rock,2177 Summerhill Drive,80108
"472,500",FOR_SALE,FOR_SALE,2544 sqft,4,3.0,CO,Colorado Springs,6755 Mandan Dr,80925
"425,000",FOR_SALE,FOR_SALE,2044 sqft,4,3.0,CO,Colorado Springs,74 Rising Sun Ter,80921
"425,000",FOR_SALE,FOR_SALE,1640 sqft,3,3.0,CO,Colorado Springs,2520 Pony Tracks Dr,80922
"895,000",FOR_SALE,FOR_SALE,3699 sqft,3,3.0,CO,Divide,206 County Road 511,80814
"475,000",FOR_SALE,FOR_SALE,1824 sqft,3,2.0,CO,Aurora,3668 S Norfolk Way,80013
"550,000",FOR_SALE,FOR_SALE,3683 sqft,3,3.0,CO,Severance,1325 Chamois Dr,80550
"711,000",FOR_SALE,FOR_SALE,1764 sqft,3,2.0,CO,Denver,748 Glencoe Street,80220
"580,000",FOR_SALE,FOR_SALE,1766 sqft,3,2.0,CO,Denver,4861 Eaton Street,80212
"1,890,000",FOR_SALE,FOR_SALE,2326 sqft,2,3.0,CO,Denver,1824 Little Raven Street,80202
"835,000",FOR_SALE,FOR_SALE,3477 sqft,3,3.0,CO,Castle Pines,5794 Jasper Pointe Circle,80108
"620,000",FOR_SALE,FOR_SALE,3973 sqft,4,4.0,CO,Denver,4795 Iran Street,80249
